lang_code,size
aka_Latn-amh_Ethi,101523
aka_Latn-bam_Latn,14267
aka_Latn-bem_Latn,34555
aka_Latn-cjk_Latn,17355
aka_Latn-dik_Latn,13572
aka_Latn-dyu_Latn,19101
aka_Latn-eng_Latn,133151
aka_Latn-ewe_Latn,64269
aka_Latn-fon_Latn,46382
aka_Latn-fra_Latn,309911
aka_Latn-fuv_Latn,14234
aka_Latn-gaz_Latn,47078
aka_Latn-hau_Latn,98876
aka_Latn-ibo_Latn,39244
aka_Latn-kam_Latn,11522
aka_Latn-kik_Latn,13930
aka_Latn-kin_Latn,67130
aka_Latn-kmb_Latn,15566
aka_Latn-knc_Arab,166729
aka_Latn-knc_Latn,17201
aka_Latn-kon_Latn,23039
aka_Latn-lin_Latn,36203
aka_Latn-lua_Latn,33795
aka_Latn-lug_Latn,45950
aka_Latn-luo_Latn,32769
aka_Latn-nso_Latn,46138
aka_Latn-nus_Latn,8534
aka_Latn-nya_Latn,52335
aka_Latn-run_Latn,47706
aka_Latn-sna_Latn,68092
aka_Latn-som_Latn,78259
aka_Latn-sot_Latn,61113
aka_Latn-ssw_Latn,19251
aka_Latn-swh_Latn,165350
aka_Latn-tir_Ethi,33956
aka_Latn-tsn_Latn,54079
aka_Latn-tso_Latn,51276
aka_Latn-tum_Latn,36800
aka_Latn-twi_Latn,76664
aka_Latn-umb_Latn,22651
aka_Latn-wol_Latn,39021
aka_Latn-xho_Latn,70562
aka_Latn-yor_Latn,113776
aka_Latn-zul_Latn,82123
amh_Ethi-bam_Latn,51635
amh_Ethi-bem_Latn,171640
amh_Ethi-cjk_Latn,69533
amh_Ethi-dik_Latn,45791
amh_Ethi-dyu_Latn,99334
amh_Ethi-eng_Latn,16137053
amh_Ethi-ewe_Latn,245623
amh_Ethi-fon_Latn,95259
amh_Ethi-fra_Latn,4460952
amh_Ethi-fuv_Latn,435048
amh_Ethi-gaz_Latn,109805
amh_Ethi-hau_Latn,751953
amh_Ethi-ibo_Latn,419692
amh_Ethi-kam_Latn,81295
amh_Ethi-kik_Latn,97726
amh_Ethi-kin_Latn,304469
amh_Ethi-kmb_Latn,64624
amh_Ethi-knc_Arab,283652
amh_Ethi-knc_Latn,14028
amh_Ethi-kon_Latn,109426
amh_Ethi-lin_Latn,155816
amh_Ethi-lua_Latn,160078
amh_Ethi-lug_Latn,179444
amh_Ethi-luo_Latn,143809
amh_Ethi-nso_Latn,147780
amh_Ethi-nus_Latn,35192
amh_Ethi-nya_Latn,725008
amh_Ethi-run_Latn,259185
amh_Ethi-sna_Latn,856816
amh_Ethi-som_Latn,516987
amh_Ethi-sot_Latn,746659
amh_Ethi-ssw_Latn,66047
amh_Ethi-swh_Latn,1030476
amh_Ethi-tir_Ethi,300472
amh_Ethi-tsn_Latn,278272
amh_Ethi-tso_Latn,251293
amh_Ethi-tum_Latn,256776
amh_Ethi-twi_Latn,224561
amh_Ethi-umb_Latn,102087
amh_Ethi-wol_Latn,66465
amh_Ethi-xho_Latn,520514
amh_Ethi-yor_Latn,422785
amh_Ethi-zul_Latn,938790
arb_Arab-ckb_Arab,2785544
arb_Arab-crh_Latn,453876
arb_Arab-dik_Latn,173953
arb_Arab-diq_Latn,414851
arb_Arab-fuv_Latn,337697
arb_Arab-kmr_Latn,645543
arb_Arab-knc_Latn,148360
arb_Arab-nus_Latn,94315
arb_Arab-som_Latn,2645032
arb_Arab-tat_Cyrl,2080360
arb_Arab-tzm_Tfng,85997
arb_Arab-urd_Arab,4926599
arb_Arab-wol_Latn,302140
asm_Beng-awa_Deva,61195
asm_Beng-ben_Beng,1045522
asm_Beng-bho_Deva,83992
asm_Beng-eng_Latn,5161159
asm_Beng-guj_Gujr,594368
asm_Beng-hin_Deva,495746
asm_Beng-hne_Deva,37228
asm_Beng-kan_Knda,784537
asm_Beng-kas_Arab,19089
asm_Beng-kas_Deva,42008
asm_Beng-mag_Deva,72239
asm_Beng-mai_Deva,157351
asm_Beng-mal_Mlym,877745
asm_Beng-mar_Deva,597238
asm_Beng-npi_Deva,502924
asm_Beng-ory_Orya,601161
asm_Beng-pan_Guru,275201
asm_Beng-san_Deva,146456
asm_Beng-sat_Beng,5053
asm_Beng-sin_Sinh,330087
asm_Beng-snd_Arab,191231
asm_Beng-tam_Taml,710002
asm_Beng-tel_Telu,955571
asm_Beng-urd_Arab,574523
awa_Deva-ben_Beng,376419
awa_Deva-bho_Deva,23906
awa_Deva-eng_Latn,2198989
awa_Deva-guj_Gujr,253415
awa_Deva-hin_Deva,204743
awa_Deva-hne_Deva,17149
awa_Deva-kan_Knda,250188
awa_Deva-kas_Arab,3843
awa_Deva-kas_Deva,12185
awa_Deva-mag_Deva,13676
awa_Deva-mai_Deva,39900
awa_Deva-mal_Mlym,327347
awa_Deva-mar_Deva,182457
awa_Deva-npi_Deva,239137
awa_Deva-ory_Orya,124862
awa_Deva-pan_Guru,122744
awa_Deva-san_Deva,80318
awa_Deva-sat_Beng,3737
awa_Deva-sin_Sinh,177472
awa_Deva-snd_Arab,100425
awa_Deva-tam_Taml,388716
awa_Deva-tel_Telu,412318
awa_Deva-urd_Arab,227920
ayr_Latn-eng_Latn,1250158
ayr_Latn-spa_Latn,336982
azb_Arab-eng_Latn,7442944
azj_Latn-eng_Latn,74519429
azj_Latn-rus_Cyrl,22060883
bak_Cyrl-crh_Latn,48277
bak_Cyrl-eng_Latn,8186263
bak_Cyrl-kir_Cyrl,228480
bak_Cyrl-rus_Cyrl,2523123
bak_Cyrl-tat_Cyrl,458385
bak_Cyrl-tuk_Latn,16474
bak_Cyrl-uig_Arab,110537
bak_Cyrl-uzn_Latn,196217
bam_Latn-bem_Latn,30898
bam_Latn-cjk_Latn,14428
bam_Latn-dik_Latn,13957
bam_Latn-dyu_Latn,23483
bam_Latn-eng_Latn,180936
bam_Latn-ewe_Latn,35521
bam_Latn-fon_Latn,25524
bam_Latn-fra_Latn,307529
bam_Latn-fuv_Latn,38120
bam_Latn-gaz_Latn,30266
bam_Latn-hau_Latn,76985
bam_Latn-ibo_Latn,37302
bam_Latn-kam_Latn,12455
bam_Latn-kik_Latn,16932
bam_Latn-kin_Latn,56300
bam_Latn-kmb_Latn,13259
bam_Latn-knc_Arab,123823
bam_Latn-knc_Latn,9512
bam_Latn-kon_Latn,24662
bam_Latn-lin_Latn,32699
bam_Latn-lua_Latn,28537
bam_Latn-lug_Latn,43061
bam_Latn-luo_Latn,31406
bam_Latn-nso_Latn,34981
bam_Latn-nus_Latn,12783
bam_Latn-nya_Latn,52883
bam_Latn-run_Latn,39695
bam_Latn-sna_Latn,57466
bam_Latn-som_Latn,71328
bam_Latn-sot_Latn,48608
bam_Latn-ssw_Latn,15606
bam_Latn-swh_Latn,146216
bam_Latn-tir_Ethi,28791
bam_Latn-tsn_Latn,55244
bam_Latn-tso_Latn,41624
bam_Latn-tum_Latn,35385
bam_Latn-twi_Latn,44143
bam_Latn-umb_Latn,20037
bam_Latn-wol_Latn,20330
bam_Latn-xho_Latn,47406
bam_Latn-yor_Latn,61947
bam_Latn-zul_Latn,66613
ban_Latn-bjn_Latn,34787
ban_Latn-bug_Latn,38582
ban_Latn-ceb_Latn,105976
ban_Latn-eng_Latn,324936
ban_Latn-fij_Latn,46184
ban_Latn-ilo_Latn,80567
ban_Latn-jav_Latn,110664
ban_Latn-min_Latn,19823
ban_Latn-mri_Latn,52136
ban_Latn-pag_Latn,39883
ban_Latn-plt_Latn,98117
ban_Latn-smo_Latn,45320
ban_Latn-sun_Latn,65709
ban_Latn-war_Latn,87779
bel_Cyrl-eng_Latn,44635616
bel_Cyrl-rus_Cyrl,19519355
bem_Latn-cjk_Latn,73273
bem_Latn-dik_Latn,18134
bem_Latn-dyu_Latn,56182
bem_Latn-eng_Latn,427159
bem_Latn-ewe_Latn,169160
bem_Latn-fon_Latn,86130
bem_Latn-fra_Latn,701043
bem_Latn-fuv_Latn,48062
bem_Latn-gaz_Latn,67775
bem_Latn-hau_Latn,180646
bem_Latn-ibo_Latn,89452
bem_Latn-kam_Latn,76200
bem_Latn-kik_Latn,46655
bem_Latn-kin_Latn,197886
bem_Latn-kmb_Latn,73364
bem_Latn-knc_Arab,201919
bem_Latn-knc_Latn,12767
bem_Latn-kon_Latn,88200
bem_Latn-lin_Latn,140378
bem_Latn-lua_Latn,138899
bem_Latn-lug_Latn,120534
bem_Latn-luo_Latn,104285
bem_Latn-nso_Latn,101403
bem_Latn-nus_Latn,16278
bem_Latn-nya_Latn,224465
bem_Latn-run_Latn,208681
bem_Latn-sna_Latn,245336
bem_Latn-som_Latn,125817
bem_Latn-sot_Latn,156281
bem_Latn-ssw_Latn,55154
bem_Latn-swh_Latn,398331
bem_Latn-tir_Ethi,113617
bem_Latn-tsn_Latn,169805
bem_Latn-tso_Latn,204918
bem_Latn-tum_Latn,167288
bem_Latn-twi_Latn,182348
bem_Latn-umb_Latn,115462
bem_Latn-wol_Latn,39092
bem_Latn-xho_Latn,213174
bem_Latn-yor_Latn,123084
bem_Latn-zul_Latn,312412
ben_Beng-bho_Deva,472016
ben_Beng-eng_Latn,62006746
ben_Beng-guj_Gujr,2814718
ben_Beng-hin_Deva,3613301
ben_Beng-hne_Deva,153152
ben_Beng-kan_Knda,3992917
ben_Beng-kas_Arab,137842
ben_Beng-kas_Deva,285379
ben_Beng-mag_Deva,444745
ben_Beng-mai_Deva,747369
ben_Beng-mal_Mlym,4629176
ben_Beng-mar_Deva,3809373
ben_Beng-npi_Deva,2653167
ben_Beng-ory_Orya,2631068
ben_Beng-pan_Guru,1569683
ben_Beng-pbt_Arab,1370588
ben_Beng-san_Deva,459815
ben_Beng-sat_Beng,19605
ben_Beng-sin_Sinh,1868557
ben_Beng-snd_Arab,1085586
ben_Beng-tam_Taml,4262941
ben_Beng-tel_Telu,5189189
ben_Beng-urd_Arab,4138984
bho_Deva-eng_Latn,2432272
bho_Deva-guj_Gujr,324133
bho_Deva-hin_Deva,356278
bho_Deva-hne_Deva,27761
bho_Deva-kan_Knda,286640
bho_Deva-kas_Arab,11716
bho_Deva-kas_Deva,22742
bho_Deva-mag_Deva,33215
bho_Deva-mai_Deva,72421
bho_Deva-mal_Mlym,358573
bho_Deva-mar_Deva,253799
bho_Deva-npi_Deva,248357
bho_Deva-ory_Orya,179355
bho_Deva-pan_Guru,148832
bho_Deva-san_Deva,89859
bho_Deva-sat_Beng,3655
bho_Deva-sin_Sinh,169451
bho_Deva-snd_Arab,100070
bho_Deva-tam_Taml,361125
bho_Deva-tel_Telu,456522
bho_Deva-urd_Arab,246166
bjn_Latn-bug_Latn,27150
bjn_Latn-ceb_Latn,97558
bjn_Latn-eng_Latn,766894
bjn_Latn-fij_Latn,59704
bjn_Latn-ilo_Latn,94318
bjn_Latn-ind_Latn,1455384
bjn_Latn-jav_Latn,116244
bjn_Latn-min_Latn,25379
bjn_Latn-mri_Latn,51993
bjn_Latn-pag_Latn,35701
bjn_Latn-plt_Latn,87167
bjn_Latn-smo_Latn,50051
bjn_Latn-sun_Latn,75466
bjn_Latn-war_Latn,111221
bod_Tibt-eng_Latn,714577
bos_Latn-eng_Latn,79334034
bug_Latn-ceb_Latn,81012
bug_Latn-eng_Latn,1240098
bug_Latn-fij_Latn,35525
bug_Latn-ilo_Latn,62655
bug_Latn-jav_Latn,86621
bug_Latn-min_Latn,17025
bug_Latn-mri_Latn,40696
bug_Latn-pag_Latn,34803
bug_Latn-plt_Latn,77126
bug_Latn-smo_Latn,35175
bug_Latn-sun_Latn,53164
bug_Latn-war_Latn,64303
ceb_Latn-eng_Latn,14768997
ceb_Latn-fij_Latn,349353
ceb_Latn-ilo_Latn,607793
ceb_Latn-jav_Latn,1004751
ceb_Latn-min_Latn,97651
ceb_Latn-mri_Latn,541277
ceb_Latn-pag_Latn,269642
ceb_Latn-plt_Latn,1194754
ceb_Latn-smo_Latn,693394
ceb_Latn-sun_Latn,648932
ceb_Latn-war_Latn,710300
cjk_Latn-dik_Latn,7786
cjk_Latn-dyu_Latn,27182
cjk_Latn-eng_Latn,214973
cjk_Latn-ewe_Latn,60363
cjk_Latn-fon_Latn,37177
cjk_Latn-fra_Latn,339015
cjk_Latn-fuv_Latn,21328
cjk_Latn-gaz_Latn,38122
cjk_Latn-hau_Latn,99644
cjk_Latn-ibo_Latn,44904
cjk_Latn-kam_Latn,26491
cjk_Latn-kik_Latn,21719
cjk_Latn-kin_Latn,87961
cjk_Latn-kmb_Latn,31476
cjk_Latn-knc_Arab,165685
cjk_Latn-knc_Latn,5805
cjk_Latn-kon_Latn,41293
cjk_Latn-lin_Latn,57608
cjk_Latn-lua_Latn,52634
cjk_Latn-lug_Latn,57661
cjk_Latn-luo_Latn,43771
cjk_Latn-nso_Latn,48578
cjk_Latn-nus_Latn,6821
cjk_Latn-nya_Latn,95762
cjk_Latn-por_Latn,384916
cjk_Latn-run_Latn,79412
cjk_Latn-sna_Latn,93149
cjk_Latn-som_Latn,91215
cjk_Latn-sot_Latn,70922
cjk_Latn-ssw_Latn,24772
cjk_Latn-swh_Latn,199208
cjk_Latn-tir_Ethi,43176
cjk_Latn-tsn_Latn,76616
cjk_Latn-tso_Latn,85282
cjk_Latn-tum_Latn,63474
cjk_Latn-twi_Latn,64879
cjk_Latn-umb_Latn,45416
cjk_Latn-wol_Latn,15843
cjk_Latn-xho_Latn,82467
cjk_Latn-yor_Latn,76623
cjk_Latn-zul_Latn,127124
ckb_Arab-diq_Latn,33967
ckb_Arab-eng_Latn,9893713
ckb_Arab-kmr_Latn,124682
ckb_Arab-pbt_Arab,264640
ckb_Arab-prs_Arab,167058
ckb_Arab-tgk_Cyrl,283798
crh_Latn-eng_Latn,1934255
crh_Latn-kir_Cyrl,66004
crh_Latn-rus_Cyrl,654519
crh_Latn-tat_Cyrl,502638
crh_Latn-tuk_Latn,596
crh_Latn-uig_Arab,24563
crh_Latn-uzn_Latn,64352
cym_Latn-eng_Latn,18903019
dik_Latn-dyu_Latn,17561
dik_Latn-eng_Latn,159128
dik_Latn-ewe_Latn,28177
dik_Latn-fon_Latn,14461
dik_Latn-fra_Latn,262847
dik_Latn-fuv_Latn,38360
dik_Latn-gaz_Latn,18728
dik_Latn-hau_Latn,51120
dik_Latn-ibo_Latn,30769
dik_Latn-kam_Latn,6936
dik_Latn-kik_Latn,13013
dik_Latn-kin_Latn,39196
dik_Latn-kmb_Latn,6351
dik_Latn-knc_Arab,62530
dik_Latn-knc_Latn,9200
dik_Latn-kon_Latn,17192
dik_Latn-lin_Latn,22370
dik_Latn-lua_Latn,17998
dik_Latn-lug_Latn,31116
dik_Latn-luo_Latn,25675
dik_Latn-nso_Latn,21424
dik_Latn-nus_Latn,13896
dik_Latn-nya_Latn,40701
dik_Latn-run_Latn,24413
dik_Latn-sna_Latn,41412
dik_Latn-som_Latn,47951
dik_Latn-sot_Latn,32604
dik_Latn-ssw_Latn,9824
dik_Latn-swh_Latn,106278
dik_Latn-tir_Ethi,26547
dik_Latn-tsn_Latn,40960
dik_Latn-tso_Latn,26142
dik_Latn-tum_Latn,23524
dik_Latn-twi_Latn,34672
dik_Latn-umb_Latn,11337
dik_Latn-wol_Latn,25725
dik_Latn-xho_Latn,35685
dik_Latn-yor_Latn,49992
dik_Latn-zul_Latn,43842
diq_Latn-eng_Latn,851967
diq_Latn-kmr_Latn,13694
diq_Latn-pbt_Arab,15088
diq_Latn-prs_Arab,9552
diq_Latn-tgk_Cyrl,13549
dyu_Latn-eng_Latn,286391
dyu_Latn-ewe_Latn,70901
dyu_Latn-fon_Latn,41426
dyu_Latn-fra_Latn,369450
dyu_Latn-fuv_Latn,32888
dyu_Latn-gaz_Latn,45728
dyu_Latn-hau_Latn,130406
dyu_Latn-ibo_Latn,63642
dyu_Latn-kam_Latn,22901
dyu_Latn-kik_Latn,34322
dyu_Latn-kin_Latn,102925
dyu_Latn-kmb_Latn,25167
dyu_Latn-knc_Arab,163885
dyu_Latn-knc_Latn,8138
dyu_Latn-kon_Latn,42986
dyu_Latn-lin_Latn,57764
dyu_Latn-lua_Latn,50227
dyu_Latn-lug_Latn,77324
dyu_Latn-luo_Latn,64153
dyu_Latn-nso_Latn,65221
dyu_Latn-nus_Latn,14363
dyu_Latn-nya_Latn,100921
dyu_Latn-run_Latn,72663
dyu_Latn-sna_Latn,111253
dyu_Latn-som_Latn,112861
dyu_Latn-sot_Latn,87508
dyu_Latn-ssw_Latn,28528
dyu_Latn-swh_Latn,242778
dyu_Latn-tir_Ethi,55864
dyu_Latn-tsn_Latn,94328
dyu_Latn-tso_Latn,82077
dyu_Latn-tum_Latn,69174
dyu_Latn-twi_Latn,82986
dyu_Latn-umb_Latn,37912
dyu_Latn-wol_Latn,33194
dyu_Latn-xho_Latn,88194
dyu_Latn-yor_Latn,102291
dyu_Latn-zul_Latn,124555
dzo_Tibt-eng_Latn,56441
eng_Latn-als_Latn,69172136
eng_Latn-epo_Latn,62799356
eng_Latn-ewe_Latn,4408020
eng_Latn-fao_Latn,2863780
eng_Latn-fij_Latn,3853997
eng_Latn-fon_Latn,1915549
eng_Latn-fur_Latn,926759
eng_Latn-fuv_Latn,1511026
eng_Latn-gaz_Latn,3232513
eng_Latn-gla_Latn,6749483
eng_Latn-gle_Latn,22535598
eng_Latn-grn_Latn,2959122
eng_Latn-guj_Gujr,39226918
eng_Latn-hat_Latn,15105145
eng_Latn-hau_Latn,2378970
eng_Latn-hin_Deva,33193629
eng_Latn-hne_Deva,640944
eng_Latn-hye_Armn,15256730
eng_Latn-ibo_Latn,6110033
eng_Latn-ilo_Latn,1041937
eng_Latn-jav_Latn,16948924
eng_Latn-kab_Latn,4123481
eng_Latn-kac_Latn,1003100
eng_Latn-kam_Latn,1628889
eng_Latn-kan_Knda,34347151
eng_Latn-kas_Arab,647348
eng_Latn-kas_Deva,1042450
eng_Latn-kat_Geor,11128369
eng_Latn-kaz_Cyrl,34589761
eng_Latn-kbp_Latn,1592255
eng_Latn-kea_Latn,1229409
eng_Latn-khk_Cyrl,16503173
eng_Latn-khm_Khmr,5863140
eng_Latn-kik_Latn,2200620
eng_Latn-kin_Latn,10080672
eng_Latn-kir_Cyrl,21360637
eng_Latn-kmb_Latn,196240
eng_Latn-kmr_Latn,1015966
eng_Latn-knc_Arab,1571840
eng_Latn-knc_Latn,99722
eng_Latn-kon_Latn,2228382
eng_Latn-lao_Laoo,4170013
eng_Latn-lij_Latn,1109791
eng_Latn-lim_Latn,4312886
eng_Latn-lin_Latn,2910355
eng_Latn-lmo_Latn,8725803
eng_Latn-ltg_Latn,131492
eng_Latn-ltz_Latn,12765998
eng_Latn-lua_Latn,2444525
eng_Latn-lug_Latn,3560449
eng_Latn-luo_Latn,2825281
eng_Latn-lus_Latn,6979898
eng_Latn-mag_Deva,2221386
eng_Latn-mai_Deva,4438382
eng_Latn-mal_Mlym,43759128
eng_Latn-mar_Deva,32051554
eng_Latn-min_Latn,301972
eng_Latn-mlt_Latn,14798113
eng_Latn-mni_Beng,490089
eng_Latn-mos_Latn,2197850
eng_Latn-mri_Latn,5801579
eng_Latn-mya_Mymr,10014948
eng_Latn-npi_Deva,19643845
eng_Latn-nso_Latn,3444258
eng_Latn-nus_Latn,1200819
eng_Latn-nya_Latn,1528869
eng_Latn-ory_Orya,13733205
eng_Latn-pag_Latn,3357840
eng_Latn-pan_Guru,11123768
eng_Latn-pap_Latn,15233890
eng_Latn-pbt_Arab,11348028
eng_Latn-plt_Latn,2334623
eng_Latn-prs_Arab,6294181
eng_Latn-quy_Latn,2874090
eng_Latn-run_Latn,771521
eng_Latn-sag_Latn,3607439
eng_Latn-san_Deva,3095396
eng_Latn-sat_Beng,78625
eng_Latn-scn_Latn,1081817
eng_Latn-shn_Mymr,646442
eng_Latn-sin_Sinh,24336367
eng_Latn-smo_Latn,6432856
eng_Latn-sna_Latn,9322192
eng_Latn-snd_Arab,8924699
eng_Latn-som_Latn,10229073
eng_Latn-sot_Latn,1377570
eng_Latn-srd_Latn,1309171
eng_Latn-ssw_Latn,222012
eng_Latn-sun_Latn,11779642
eng_Latn-swh_Latn,23513175
eng_Latn-szl_Latn,1768541
eng_Latn-tam_Taml,42588178
eng_Latn-taq_Latn,450220
eng_Latn-tat_Cyrl,10495969
eng_Latn-tel_Telu,46376267
eng_Latn-tgk_Cyrl,13253566
eng_Latn-tgl_Latn,63581148
eng_Latn-tir_Ethi,1398173
eng_Latn-tpi_Latn,2163376
eng_Latn-tsn_Latn,6272749
eng_Latn-tso_Latn,685309
eng_Latn-tuk_Latn,327408
eng_Latn-tum_Latn,651508
eng_Latn-twi_Latn,4037214
eng_Latn-tzm_Tfng,212768
eng_Latn-uig_Arab,9846570
eng_Latn-umb_Latn,298089
eng_Latn-urd_Arab,25377417
eng_Latn-uzn_Latn,30983866
eng_Latn-vec_Latn,4964781
eng_Latn-war_Latn,9656999
eng_Latn-wol_Latn,1460420
eng_Latn-xho_Latn,8765669
eng_Latn-ydd_Hebr,7469712
eng_Latn-yor_Latn,1506704
eng_Latn-zho_Hant,11979570
eng_Latn-zsm_Latn,56832366
eng_Latn-zul_Latn,4593922
epo_Latn-fra_Latn,17449108
ewe_Latn-fon_Latn,78389
ewe_Latn-fra_Latn,1039385
ewe_Latn-fuv_Latn,78098
ewe_Latn-gaz_Latn,74473
ewe_Latn-hau_Latn,204932
ewe_Latn-ibo_Latn,117699
ewe_Latn-kam_Latn,64762
ewe_Latn-kik_Latn,61576
ewe_Latn-kin_Latn,210356
ewe_Latn-kmb_Latn,62600
ewe_Latn-knc_Arab,175191
ewe_Latn-knc_Latn,10889
ewe_Latn-kon_Latn,104677
ewe_Latn-lin_Latn,137272
ewe_Latn-lua_Latn,135213
ewe_Latn-lug_Latn,139117
ewe_Latn-luo_Latn,117795
ewe_Latn-nso_Latn,111573
ewe_Latn-nus_Latn,21245
ewe_Latn-nya_Latn,285213
ewe_Latn-run_Latn,197510
ewe_Latn-sna_Latn,281405
ewe_Latn-som_Latn,174327
ewe_Latn-sot_Latn,188972
ewe_Latn-ssw_Latn,53779
ewe_Latn-swh_Latn,515756
ewe_Latn-tir_Ethi,153184
ewe_Latn-tsn_Latn,227661
ewe_Latn-tso_Latn,237451
ewe_Latn-tum_Latn,178779
ewe_Latn-twi_Latn,215252
ewe_Latn-umb_Latn,106645
ewe_Latn-wol_Latn,54684
ewe_Latn-xho_Latn,237405
ewe_Latn-yor_Latn,167046
ewe_Latn-zul_Latn,344558
fij_Latn-hin_Deva,277653
fij_Latn-ilo_Latn,206673
fij_Latn-jav_Latn,224932
fij_Latn-min_Latn,55217
fij_Latn-mri_Latn,119693
fij_Latn-pag_Latn,134678
fij_Latn-plt_Latn,298957
fij_Latn-smo_Latn,183509
fij_Latn-sun_Latn,146042
fij_Latn-war_Latn,183497
fon_Latn-fra_Latn,504704
fon_Latn-fuv_Latn,81491
fon_Latn-gaz_Latn,50665
fon_Latn-hau_Latn,103601
fon_Latn-ibo_Latn,55155
fon_Latn-kam_Latn,35955
fon_Latn-kik_Latn,34694
fon_Latn-kin_Latn,105316
fon_Latn-kmb_Latn,44269
fon_Latn-knc_Arab,113851
fon_Latn-knc_Latn,9281
fon_Latn-kon_Latn,57877
fon_Latn-lin_Latn,69800
fon_Latn-lua_Latn,62286
fon_Latn-lug_Latn,64936
fon_Latn-luo_Latn,56576
fon_Latn-nso_Latn,58696
fon_Latn-nus_Latn,12128
fon_Latn-nya_Latn,131151
fon_Latn-run_Latn,89002
fon_Latn-sna_Latn,119304
fon_Latn-som_Latn,108292
fon_Latn-sot_Latn,97389
fon_Latn-ssw_Latn,31019
fon_Latn-swh_Latn,260363
fon_Latn-tir_Ethi,59562
fon_Latn-tsn_Latn,100104
fon_Latn-tso_Latn,97374
fon_Latn-tum_Latn,73794
fon_Latn-twi_Latn,87199
fon_Latn-umb_Latn,56632
fon_Latn-wol_Latn,23879
fon_Latn-xho_Latn,90621
fon_Latn-yor_Latn,83416
fon_Latn-zul_Latn,137778
fra_Latn-fuv_Latn,701148
fra_Latn-gaz_Latn,815970
fra_Latn-glg_Latn,23737208
fra_Latn-hat_Latn,3983776
fra_Latn-hau_Latn,3516701
fra_Latn-ibo_Latn,1372649
fra_Latn-kab_Latn,1031705
fra_Latn-kam_Latn,400051
fra_Latn-kik_Latn,456349
fra_Latn-kin_Latn,2661167
fra_Latn-kmb_Latn,314211
fra_Latn-knc_Arab,2894714
fra_Latn-knc_Latn,185709
fra_Latn-kon_Latn,501059
fra_Latn-lin_Latn,691883
fra_Latn-ltz_Latn,3662444
fra_Latn-lua_Latn,592536
fra_Latn-lug_Latn,800126
fra_Latn-luo_Latn,610028
fra_Latn-nso_Latn,768898
fra_Latn-nus_Latn,212172
fra_Latn-nya_Latn,2496418
fra_Latn-oci_Latn,9328510
fra_Latn-plt_Latn,3631066
fra_Latn-run_Latn,1262726
fra_Latn-sag_Latn,1012690
fra_Latn-scn_Latn,1753709
fra_Latn-sna_Latn,2262229
fra_Latn-som_Latn,2818394
fra_Latn-sot_Latn,2292438
fra_Latn-ssw_Latn,349012
fra_Latn-swh_Latn,5648516
fra_Latn-tir_Ethi,1101376
fra_Latn-tsn_Latn,1430317
fra_Latn-tso_Latn,1005252
fra_Latn-tum_Latn,969488
fra_Latn-twi_Latn,935134
fra_Latn-tzm_Tfng,177742
fra_Latn-umb_Latn,472573
fra_Latn-wol_Latn,376455
fra_Latn-xho_Latn,2192724
fra_Latn-yor_Latn,2646732
fra_Latn-zul_Latn,3616626
fuv_Latn-gaz_Latn,92794
fuv_Latn-hau_Latn,269335
fuv_Latn-ibo_Latn,111376
fuv_Latn-kam_Latn,14631
fuv_Latn-kik_Latn,27116
fuv_Latn-kin_Latn,220054
